"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"26.01.2024","125,20","127,52","128,10","121,46","13,96M","3,46%"
"25.01.2024","121,01","122,38","124,26","118,92","8,17M","-0,27%"
"24.01.2024","121,34","127,28","127,97","120,79","8,71M","-2,29%"
"23.01.2024","124,19","122,41","126,14","120,33","9,56M","-3,14%"
"22.01.2024","128,21","124,05","131,78","122,50","11,84M","2,77%"
"19.01.2024","124,75","124,34","124,82","118,02","16,69M","0,33%"
"18.01.2024","124,34","133,25","137,31","123,93","14,21M","-7,11%"
"17.01.2024","133,86","130,51","134,26","129,41","7,97M","-0,01%"
"16.01.2024","133,88","129,43","136,40","126,88","14,64M","2,37%"
"12.01.2024","130,78","137,19","141,07","130,37","20,39M","-7,35%"
"11.01.2024","141,16","159,19","161,04","140,01","31,56M","-6,70%"
"10.01.2024","151,29","149,21","153,47","143,15","16,60M","-0,46%"
"09.01.2024","151,99","159,60","159,99","151,32","12,45M","-4,66%"
"08.01.2024","159,42","157,80","161,38","146,51","18,13M","3,53%"
"05.01.2024","153,98","152,67","157,69","151,09","10,88M","-1,04%"
"04.01.2024","155,60","152,50","161,28","148,81","14,68M","2,21%"
"03.01.2024","152,24","146,00","156,25","144,11","18,53M","-2,96%"
"02.01.2024","156,88","173,02","175,57","155,35","26,36M","-9,80%"
"29.12.2023","173,92","186,06","187,25","171,00","19,72M","-6,68%"
"28.12.2023","186,36","179,31","187,39","177,75","17,19M","0,60%"
"27.12.2023","185,24","176,32","186,97","175,50","15,57M","7,67%"
"26.12.2023","172,05","174,80","178,12","169,05","12,46M","-1,95%"
"22.12.2023","175,48","169,77","178,70","167,90","15,83M","4,43%"
"21.12.2023","168,03","166,71","170,17","163,10","11,94M","3,81%"
"20.12.2023","161,86","164,73","169,48","160,07","15,91M","0,43%"
"19.12.2023","161,16","155,50","162,09","153,61","13,83M","5,04%"
"18.12.2023","153,43","144,81","155,01","144,00","9,81M","3,74%"
"15.12.2023","147,90","151,81","151,92","146,84","11,80M","-3,73%"
"14.12.2023","153,63","152,10","154,74","149,10","12,06M","2,11%"
"13.12.2023","150,46","139,62","150,65","137,15","12,17M","7,76%"
"12.12.2023","139,62","139,89","141,75","135,99","8,26M","1,16%"
"11.12.2023","138,02","141,50","142,87","135,99","12,05M","-5,87%"
"08.12.2023","146,62","136,19","146,74","135,85","12,02M","7,66%"
"07.12.2023","136,19","131,02","138,48","130,17","9,73M","1,16%"
"06.12.2023","134,63","142,50","143,44","134,12","12,58M","-3,97%"
"05.12.2023","140,20","140,00","147,86","139,18","18,04M","-0,63%"
"04.12.2023","141,09","143,53","146,30","137,60","21,33M","5,48%"
"01.12.2023","133,76","126,39","134,33","125,88","13,69M","7,25%"
"30.11.2023","124,72","126,06","127,14","118,40","14,00M","-2,43%"
"29.11.2023","127,82","127,82","131,42","126,30","13,87M","-0,35%"
"28.11.2023","128,27","122,05","129,26","119,70","17,52M","7,10%"
"27.11.2023","119,77","112,58","121,46","112,18","14,14M","3,66%"
"24.11.2023","115,54","108,45","116,94","107,98","11,65M","5,76%"
"22.11.2023","109,25","106,17","109,99","103,36","10,36M","3,56%"
"21.11.2023","105,49","104,00","106,06","101,34","9,18M","-0,57%"
"20.11.2023","106,10","100,71","106,46","100,01","10,93M","7,12%"
"17.11.2023","99,05","97,00","99,43","94,90","7,37M","2,20%"
"16.11.2023","96,92","97,68","97,89","94,45","7,07M","-1,25%"
"15.11.2023","98,15","93,92","100,15","93,07","11,97M","6,58%"
"14.11.2023","92,09","94,91","95,32","89,79","10,14M","-0,59%"
"13.11.2023","92,64","91,78","93,27","88,62","8,83M","-0,30%"
"10.11.2023","92,92","94,40","96,22","91,80","9,85M","0,06%"
"09.11.2023","92,86","92,90","99,82","91,37","20,94M","5,14%"
"08.11.2023","88,32","88,80","89,15","84,69","7,22M","-0,84%"
"07.11.2023","89,07","86,20","89,49","84,30","6,76M","3,13%"
"06.11.2023","86,37","86,82","89,27","84,09","9,88M","0,66%"
"03.11.2023","85,80","83,79","88,34","82,05","12,19M","1,42%"
"02.11.2023","84,60","81,71","84,80","80,81","11,97M","8,73%"
"01.11.2023","77,81","77,42","79,41","75,87","6,73M","0,89%"
"31.10.2023","77,12","73,60","77,47","73,56","6,27M","4,78%"
"30.10.2023","73,60","72,04","74,08","71,88","6,41M","3,98%"
"27.10.2023","70,78","76,45","76,50","70,42","9,01M","-5,13%"
"26.10.2023","74,61","77,20","79,16","73,15","8,24M","-4,09%"
"25.10.2023","77,79","83,51","84,09","77,40","13,69M","-5,22%"
"24.10.2023","82,07","83,29","89,40","80,89","23,50M","6,29%"
"23.10.2023","77,21","75,50","80,73","72,42","13,64M","3,42%"
"20.10.2023","74,66","74,64","76,76","73,50","8,32M","2,13%"
"19.10.2023","73,10","74,28","76,17","72,72","5,28M","-1,12%"
"18.10.2023","73,93","76,88","78,38","73,78","5,10M","-4,56%"
"17.10.2023","77,46","74,80","79,12","74,50","7,44M","2,99%"
